userID,itemID,date,brand,feature_1,feature_2,feature_3,feature_4,feature_5,category,order,user_total_purchase_time,user_total_orders,item_total_purchase_time,item_total_orders,weekday,date_of_month,month,label,prediction
0,20664,2020-10-09,408,4,0,284,0,66,3898,1,1.5,1.5,23.17,23.33,4,9,10,126,
0,28231,2020-11-20,193,4,3,468,3,108,3898,1,1.5,1.5,5.0,6.17,4,20,11,0,
13,2690,2020-10-30,406,4,3,491,0,66,3898,1,5.67,7.83,0.5,0.5,4,30,10,68,
15,1299,2020-11-29,1056,4,0,474,-1,108,3898,1,4.5,4.83,15.5,24.5,6,29,11,81,
15,20968,2020-11-29,1315,4,0,444,0,144,3915,1,4.5,4.83,37.5,39.5,6,29,11,52,
20,8272,2020-10-27,783,10,1,503,3,17,3898,1,2.0,2.17,2.0,2.33,1,27,10,45,
24,11340,2020-10-04,406,10,0,504,0,17,3898,2,8.83,11.83,9.0,14.83,6,4,10,75,
34,21146,2020-11-13,325,4,0,267,0,78,3915,1,5.5,5.83,214.17,254.67,4,13,11,82,
34,31244,2020-08-18,1093,4,0,491,0,66,3915,1,5.5,5.83,25.33,38.33,1,18,8,0,
46,31083,2020-10-11,643,10,0,124,3,83,3898,1,4.17,4.17,14.17,20.67,6,11,10,77,
61,4648,2020-09-16,28,4,3,491,3,144,3914,1,3.17,7.17,57.17,85.33,2,16,9,46,
76,4603,2020-08-02,346,4,0,110,0,53,3912,6,4.5,6.83,36.17,58.17,6,2,8,0,
76,23869,2020-08-02,186,10,0,28,3,112,813,1,4.5,6.83,41.83,60.67,6,2,8,12,
76,29829,2020-08-24,615,6,0,521,3,189,3898,2,4.5,6.83,21.5,27.33,0,24,8,0,
78,12635,2020-11-14,1324,4,1,491,3,66,3898,1,3.67,5.83,12.33,13.5,5,14,11,87,
79,21856,2020-08-24,441,10,0,507,0,101,3898,2,4.17,5.67,19.17,24.83,0,24,8,78,
80,5907,2020-10-04,322,4,0,536,0,144,3898,1,2.83,2.83,25.17,26.5,6,4,10,70,
94,2747,2020-11-15,1201,6,0,53,3,117,327,1,6.83,8.67,9.67,13.83,6,15,11,36,
94,17291,2020-11-15,1338,4,0,486,3,48,1980,1,6.83,8.67,34.67,42.5,6,15,11,36,
94,20338,2020-10-10,127,6,0,308,3,17,3898,2,6.83,8.67,3.5,5.0,5,10,10,33,
99,5076,2020-11-30,829,10,0,9,0,156,3915,2,1.83,2.0,110.33,136.83,0,30,11,149,
100,5891,2020-11-23,768,4,0,484,0,66,3898,1,6.83,7.17,29.33,35.33,0,23,11,120,
110,11155,2020-11-23,827,4,0,55,3,49,327,1,6.17,7.5,41.17,56.5,0,23,11,89,
115,19573,2020-10-14,827,4,0,383,0,176,1244,1,1.17,1.17,15.5,16.33,2,14,10,0,
124,20133,2020-09-29,1401,4,0,96,3,44,3898,1,2.5,2.5,7.33,7.5,1,29,9,90,
129,23582,2020-09-24,569,4,0,21,3,52,3915,5,1.67,3.33,203.0,413.33,3,24,9,114,
130,2446,2020-10-31,539,10,0,4,3,84,3915,1,5.83,7.0,130.83,153.67,5,31,10,48,
130,6639,2020-09-13,993,4,3,487,3,144,3898,2,5.83,7.0,20.0,28.83,6,13,9,64,
130,18586,2020-10-31,400,10,0,186,0,84,3898,1,5.83,7.0,48.83,67.0,5,31,10,112,
130,24236,2020-07-11,1121,10,0,161,0,38,3915,1,5.83,7.0,94.17,100.83,5,11,7,0,
134,4595,2020-08-18,1306,1,0,502,0,78,3915,3,3.0,4.67,40.5,50.67,1,18,8,72,
134,5902,2020-10-11,193,4,0,453,3,108,3898,4,3.0,4.67,11.0,18.83,6,11,10,0,
135,190,2020-10-13,1158,10,1,502,0,45,3898,2,4.67,7.83,0.5,0.83,1,13,10,53,
135,16809,2020-10-13,827,10,0,490,0,39,813,2,4.67,7.83,10.5,12.83,1,13,10,0,
148,31812,2020-10-02,1496,4,0,22,0,151,3915,2,2.5,3.17,169.0,289.5,4,2,10,120,
149,31265,2020-11-21,1137,4,0,398,0,144,2256,1,1.17,1.83,103.5,185.5,5,21,11,127,
151,14776,2020-11-21,1496,4,0,322,0,144,3915,1,7.17,9.0,32.5,67.5,5,21,11,27,
156,3957,2020-10-25,1338,4,0,486,3,81,1980,2,4.0,5.67,16.33,20.33,6,25,10,40,
164,9757,2020-11-06,1469,6,0,-1,-1,-1,3898,2,4.83,7.83,8.33,22.17,4,6,11,46,
167,12528,2020-10-20,186,4,3,17,0,81,3915,1,3.0,3.17,243.33,280.83,1,20,10,0,
169,875,2020-11-21,1201,4,0,174,0,44,3915,1,3.83,5.5,102.83,109.83,5,21,11,94,
169,4439,2020-11-21,378,10,0,421,0,3,3224,1,3.83,5.5,66.33,72.33,5,21,11,94,
169,6923,2020-11-21,1496,4,0,398,0,144,3915,2,3.83,5.5,125.67,230.5,5,21,11,94,
169,29497,2020-11-21,1111,4,0,487,0,144,1980,2,3.83,5.5,0.83,1.5,5,21,11,94,
170,24528,2020-09-04,194,6,0,502,0,185,3898,5,8.17,11.0,15.83,42.17,4,4,9,19,
186,28135,2020-08-27,78,10,3,421,0,3,3224,4,3.67,4.83,0.33,1.33,3,27,8,83,
189,2062,2020-11-14,701,10,0,282,0,38,3898,1,2.33,3.0,8.67,11.67,5,14,11,138,
190,24243,2020-11-07,1342,4,1,474,0,-1,3898,5,2.33,4.33,0.83,3.5,5,7,11,97,
190,26273,2020-11-07,994,4,0,491,3,66,3915,1,2.33,4.33,73.83,97.5,5,7,11,97,
197,15523,2020-11-02,1040,4,0,527,0,161,3898,1,6.0,12.67,3.0,6.17,0,2,11,79,
209,6105,2020-10-12,618,4,0,334,0,44,3915,1,7.83,8.33,7.0,7.0,0,12,10,44,
209,28900,2020-11-21,1156,10,0,137,3,87,3915,1,7.83,8.33,54.67,75.17,5,21,11,21,
210,11251,2020-09-12,1496,10,0,348,0,95,3915,2,3.0,4.0,507.67,1135.67,5,12,9,86,
218,2446,2020-11-28,539,10,0,4,3,84,3915,1,3.33,3.67,130.83,153.67,5,28,11,129,
218,11434,2020-11-28,185,4,0,131,3,151,3915,1,3.33,3.67,136.67,182.67,5,28,11,79,
218,29307,2020-10-23,1180,6,3,298,3,17,3898,1,3.33,3.67,44.33,53.0,4,23,10,93,
225,4702,2020-11-15,325,10,0,16,0,45,3915,1,3.67,5.33,104.5,118.0,6,15,11,4,
232,2065,2020-11-17,322,4,0,536,0,144,3898,1,3.17,6.33,0.5,0.5,1,17,11,86,
232,27629,2020-11-17,322,4,1,536,0,144,3898,1,3.17,6.33,0.33,0.33,1,17,11,86,
236,28695,2020-08-24,550,4,3,475,0,144,3898,2,8.83,11.33,2.17,2.67,0,24,8,50,
239,11074,2020-10-01,194,10,0,503,3,17,3915,1,1.17,1.17,5.83,5.83,3,1,10,80,
240,10846,2020-06-22,361,10,1,181,3,84,3898,1,7.5,7.5,1.17,1.17,0,22,6,1,
240,11556,2020-06-22,929,10,3,-1,-1,-1,3898,1,7.5,7.5,0.67,0.67,0,22,6,1,
256,27263,2020-07-25,827,4,0,383,0,74,3915,1,2.0,3.17,58.17,63.5,5,25,7,35,
258,17645,2020-08-29,1105,4,0,486,0,48,3915,1,2.0,2.0,116.67,127.67,5,29,8,49,
264,12192,2020-11-03,1163,10,0,238,0,84,3625,3,3.83,6.17,40.17,45.67,1,3,11,40,
277,2517,2020-08-23,361,6,0,276,3,17,3915,1,8.33,14.0,189.33,224.5,6,23,8,82,
277,32204,2020-09-08,1496,10,0,345,3,95,3173,1,8.33,14.0,250.33,619.33,1,8,9,22,
312,23,2020-10-10,1113,6,0,46,3,48,327,1,4.0,6.17,3.67,5.67,5,10,10,40,
312,13676,2020-10-10,186,10,0,27,3,38,3915,1,4.0,6.17,148.67,162.5,5,10,10,0,
314,27830,2020-09-30,20,10,1,502,3,85,3898,2,2.83,3.0,6.0,8.67,2,30,9,69,
319,6169,2020-07-26,1306,10,0,421,3,3,3224,1,5.67,6.67,30.33,31.67,6,26,7,0,
324,1924,2020-08-29,363,4,0,486,0,44,1980,1,2.5,8.0,6.33,8.0,5,29,8,49,
328,21690,2020-08-01,1496,4,0,131,0,151,3915,1,1.0,1.0,228.33,335.33,5,1,8,0,
332,8004,2020-08-14,6,6,0,303,3,45,3898,2,1.67,2.5,42.33,58.0,4,14,8,7,
369,5391,2020-10-11,580,10,0,503,0,17,3898,1,5.83,6.67,7.0,9.33,6,11,10,76,
369,12528,2020-10-11,186,4,3,17,0,81,3915,1,5.83,6.67,243.33,280.83,6,11,10,76,
377,32204,2020-09-30,1496,10,0,345,3,95,3173,7,2.67,6.17,250.33,619.33,2,30,9,30,
378,2517,2020-08-05,361,6,0,276,3,17,3915,2,7.5,10.5,189.33,224.5,2,5,8,36,
384,30448,2020-10-09,1306,4,0,416,0,76,3898,2,2.67,4.0,30.17,52.5,4,9,10,23,
386,8168,2020-10-20,1401,4,0,120,0,144,1980,1,3.0,3.0,36.17,40.5,1,20,10,73,
388,19837,2020-06-17,1248,10,0,536,0,26,3898,1,7.33,8.33,13.83,17.33,2,17,6,0,
