userID,itemID,date,brand,feature_1,feature_2,feature_3,feature_4,feature_5,category,order,user_total_purchase_time,user_total_orders,item_total_purchase_time,item_total_orders,weekday,date_of_month,month,label,prediction
0,20664,2020-12-11 00:00:00,408.0,4.0,0.0,284.0,0.0,66.0,3898.0,1.0,2.0,2.0,23.0,23.29,4.0,11.0,12.0,0.0,0.0
0,28231,2020-12-11 00:00:00,193.0,4.0,3.0,468.0,3.0,108.0,3898.0,1.0,2.0,2.0,5.14,6.57,4.0,11.0,12.0,0.0,0.0
13,2690,2020-12-24 00:00:00,406.0,4.0,3.0,491.0,0.0,66.0,3898.0,1.0,6.43,8.86,0.57,0.57,3.0,24.0,12.0,0.0,0.0
15,1299,2020-12-26 00:00:00,1056.0,4.0,0.0,474.0,-1.0,108.0,3898.0,1.0,5.14,6.29,17.14,26.86,5.0,26.0,12.0,0.0,0.0
15,20968,2020-12-26 00:00:00,1315.0,4.0,0.0,444.0,0.0,144.0,3915.0,1.0,5.14,6.29,37.57,40.14,5.0,26.0,12.0,0.0,0.0
20,8272,2020-10-27 00:00:00,783.0,10.0,1.0,503.0,3.0,17.0,3898.0,1.0,2.14,2.57,1.86,2.14,1.0,27.0,10.0,0.0,0.0
24,11340,2020-12-27 00:00:00,406.0,10.0,0.0,504.0,0.0,17.0,3898.0,1.0,8.86,12.43,11.29,17.86,6.0,27.0,12.0,84.0,0.0
34,21146,2020-11-13 00:00:00,325.0,4.0,0.0,267.0,0.0,78.0,3915.0,1.0,5.0,5.29,210.71,251.14,4.0,13.0,11.0,0.0,0.0
34,31244,2020-12-14 00:00:00,1093.0,4.0,0.0,491.0,0.0,66.0,3915.0,1.0,5.0,5.29,25.29,38.0,0.0,14.0,12.0,0.0,0.0
46,31083,2020-10-11 00:00:00,643.0,10.0,0.0,124.0,3.0,83.0,3898.0,1.0,3.57,3.57,13.43,19.57,6.0,11.0,10.0,0.0,0.0
61,4648,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,4603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,23869,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,29829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,12635,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,21856,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,5907,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2747,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,17291,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,20338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,5076,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,5891,2020-11-23 00:00:00,768.0,4.0,0.0,484.0,0.0,66.0,3898.0,1.0,6.29,6.57,29.43,35.71,0.0,23.0,11.0,0.0,0.0
110,11155,2020-11-23 00:00:00,827.0,4.0,0.0,55.0,3.0,49.0,327.0,1.0,6.0,7.43,41.0,55.71,0.0,23.0,11.0,0.0,0.0
115,19573,2020-10-14 00:00:00,827.0,4.0,0.0,383.0,0.0,176.0,1244.0,1.0,1.0,1.0,17.86,18.71,2.0,14.0,10.0,0.0,0.0
124,20133,2020-12-27 00:00:00,1401.0,4.0,0.0,96.0,3.0,44.0,3898.0,1.0,2.29,2.29,7.0,7.14,6.0,27.0,12.0,0.0,0.0
129,23582,2020-09-24 00:00:00,569.0,4.0,0.0,21.0,3.0,52.0,3915.0,5.0,2.0,3.43,206.14,415.71,3.0,24.0,9.0,0.0,0.0
130,2446,2020-10-31 00:00:00,539.0,10.0,0.0,4.0,3.0,84.0,3915.0,1.0,5.86,6.86,136.71,158.71,5.0,31.0,10.0,0.0,0.0
130,6639,2020-09-13 00:00:00,993.0,4.0,3.0,487.0,3.0,144.0,3898.0,2.0,5.86,6.86,20.14,28.57,6.0,13.0,9.0,0.0,0.0
130,18586,2020-12-12 00:00:00,400.0,10.0,0.0,186.0,0.0,84.0,3898.0,1.0,5.86,6.86,48.29,67.0,5.0,12.0,12.0,0.0,0.0
130,24236,2020-12-12 00:00:00,1121.0,10.0,0.0,161.0,0.0,38.0,3915.0,1.0,5.86,6.86,90.43,96.86,5.0,12.0,12.0,0.0,0.0
134,4595,2020-12-08 00:00:00,1306.0,1.0,0.0,502.0,0.0,78.0,3915.0,1.0,3.71,6.0,41.43,52.43,1.0,8.0,12.0,112.0,0.0
134,5902,2020-12-28 00:00:00,193.0,4.0,0.0,453.0,3.0,108.0,3898.0,4.0,3.71,6.0,10.86,20.29,0.0,28.0,12.0,0.0,0.0
135,190,2020-12-11 00:00:00,1158.0,10.0,1.0,502.0,0.0,45.0,3898.0,2.0,5.14,8.14,0.57,1.0,4.0,11.0,12.0,49.0,0.0
135,16809,2020-12-11 00:00:00,827.0,10.0,0.0,490.0,0.0,39.0,813.0,1.0,5.14,8.14,10.43,12.71,4.0,11.0,12.0,59.0,0.0
148,31812,2020-10-02 00:00:00,1496.0,4.0,0.0,22.0,0.0,151.0,3915.0,2.0,2.29,2.86,165.57,285.86,4.0,2.0,10.0,120.0,0.0
149,31265,2020-11-21 00:00:00,1137.0,4.0,0.0,398.0,0.0,144.0,2256.0,1.0,2.0,3.14,104.57,185.71,5.0,21.0,11.0,127.0,0.0
151,14776,2020-12-14 00:00:00,1496.0,4.0,0.0,322.0,0.0,144.0,3915.0,1.0,7.29,8.86,31.71,66.29,0.0,14.0,12.0,0.0,0.0
156,3957,2020-12-12 00:00:00,1338.0,4.0,0.0,486.0,3.0,81.0,1980.0,1.0,4.0,6.0,16.43,21.57,5.0,12.0,12.0,0.0,0.0
164,9757,2020-11-06 00:00:00,1469.0,6.0,0.0,-1.0,-1.0,-1.0,3898.0,2.0,4.14,6.71,8.86,23.29,4.0,6.0,11.0,46.0,0.0
167,12528,2020-10-20 00:00:00,186.0,4.0,3.0,17.0,0.0,81.0,3915.0,1.0,3.14,3.29,244.43,281.29,1.0,20.0,10.0,0.0,0.0
