date,itemID,brand,feature_1,feature_2,feature_3,feature_4,feature_5,category,userID,order,label
2020-12-08,13526,1090,10,0,511,0,0,3898,36624,1,0
2020-12-06,13526,1090,10,0,511,0,0,3898,27527,1,0
2020-10-18,13526,1090,10,0,511,0,0,3898,7271,1,1
2020-11-12,13526,1090,10,0,511,0,0,3898,33269,1,2
2020-12-19,13526,1090,10,0,511,0,0,3898,39232,2,3
2020-11-28,6237,1492,4,1,491,3,66,3898,43356,1,0
2020-08-29,16971,288,6,0,314,0,45,3898,25979,1,0
2020-06-27,16971,288,6,0,314,0,45,3898,10912,1,0
2020-07-17,16971,288,6,0,314,0,45,3898,35003,1,4
2020-07-26,16971,288,6,0,314,0,45,3898,18971,1,1
2020-08-17,16971,288,6,0,314,0,45,3898,29778,1,3
2020-09-14,16971,288,6,0,314,0,45,3898,29778,1,4
2020-10-03,16971,288,6,0,314,0,45,3898,29778,2,3
2020-11-25,16971,288,6,0,314,0,45,3898,45600,1,2
2020-08-24,12775,322,1,0,536,0,78,3898,36083,1,0
2020-06-03,12775,322,1,0,536,0,78,3898,19500,1,0
2020-07-06,12775,322,1,0,536,0,78,3898,8678,1,0
2020-11-23,16238,1180,10,0,288,0,87,2942,38670,2,0
2020-12-17,29828,1180,10,0,288,0,87,2942,30312,2,0
2020-12-20,29828,1180,10,0,288,0,87,2942,25629,1,4
2020-06-22,18912,703,4,0,335,0,89,3898,36906,1,3
2020-06-20,19652,703,4,0,335,0,89,3898,19094,3,3
2020-06-30,19652,703,4,0,335,0,89,3898,33005,1,4
2020-07-08,19652,703,4,0,335,0,89,3898,15735,1,4
2020-07-13,19652,703,4,0,335,0,89,3898,6581,2,4
2020-07-18,19652,703,4,0,335,0,89,3898,19094,3,4
2020-07-23,19652,703,4,0,335,0,89,3898,33005,1,4
2020-08-01,19652,703,4,0,335,0,89,3898,21454,1,3
2020-08-03,19652,703,4,0,335,0,89,3898,19094,3,3
2020-08-05,19652,703,4,0,335,0,89,3898,2224,4,4
2020-08-09,19652,703,4,0,335,0,89,3898,21454,2,2
2020-08-11,19652,703,4,0,335,0,89,3898,18004,1,4
2020-08-18,19652,703,4,0,335,0,89,3898,19094,3,3
2020-08-19,19652,703,4,0,335,0,89,3898,33005,1,4
2020-08-20,19652,703,4,0,335,0,89,3898,7793,2,2
2020-08-26,19652,703,4,0,335,0,89,3898,2224,4,3
2020-08-27,19652,703,4,0,335,0,89,3898,23784,5,4
2020-08-30,19652,703,4,0,335,0,89,3898,19094,3,2
2020-09-13,19652,703,4,0,335,0,89,3898,33005,1,4
2020-09-14,19652,703,4,0,335,0,89,3898,23784,5,3
2020-09-24,19652,703,4,0,335,0,89,3898,21454,1,3
2020-09-26,19652,703,4,0,335,0,89,3898,19094,4,4
2020-10-17,19652,703,4,0,335,0,89,3898,41653,1,4
2020-10-24,19652,703,4,0,335,0,89,3898,19094,3,4
2020-11-15,19652,703,4,0,335,0,89,3898,21454,2,1
2020-11-30,19652,703,4,0,335,0,89,3898,18004,1,4
2020-12-06,19652,703,4,0,335,0,89,3898,21454,1,3
2020-12-11,19652,703,4,0,335,0,89,3898,40131,1,2
2020-12-18,19652,703,4,0,335,0,89,3898,19094,3,2
2020-12-19,19652,703,4,0,335,0,89,3898,18004,1,3
2020-12-24,19652,703,4,0,335,0,89,3898,21454,1,3
2020-12-27,19652,703,4,0,335,0,89,3898,33005,1,3
2020-08-16,3914,1201,4,0,39,0,151,3898,41491,1,0
2020-07-07,3914,1201,4,0,39,0,151,3898,44515,1,0
2020-09-21,3914,1201,4,0,39,0,151,3898,24870,1,0
2020-09-21,3914,1201,4,0,39,0,151,3898,16198,1,0
2020-06-14,3914,1201,4,0,39,0,151,3898,36376,1,0
2020-11-07,3914,1201,4,0,39,0,151,3898,28368,1,4
2020-07-18,24190,1201,4,0,39,0,151,3898,13802,1,0
2020-10-22,24190,1201,4,0,39,0,151,3898,16173,1,0
2020-07-12,24190,1201,4,0,39,0,151,3898,36592,1,2
2020-08-05,24190,1201,4,0,39,0,151,3898,13802,1,3
2020-09-20,24190,1201,4,0,39,0,151,3898,27833,1,4
2020-09-23,24190,1201,4,0,39,0,151,3898,30611,1,4
2020-11-16,24190,1201,4,0,39,0,151,3898,19604,1,4
2020-11-24,24190,1201,4,0,39,0,151,3898,1287,1,3
2020-12-21,24190,1201,4,0,39,0,151,3898,1287,1,4
2020-12-30,24190,1201,4,0,39,0,151,3898,16486,1,2
2020-11-04,27772,238,6,0,394,3,33,3898,16553,3,2
2020-12-12,27772,238,6,0,394,3,33,3898,7246,5,3
2020-09-18,10963,454,10,0,62,3,141,3898,27390,2,3
2020-09-27,29149,1379,6,1,444,0,117,3898,5538,1,4
2020-10-21,29149,1379,6,1,444,0,117,3898,5538,1,4
2020-10-23,13653,238,6,0,9,3,33,3898,25995,1,3
2020-11-15,13653,238,6,0,9,3,33,3898,25995,1,4
2020-12-02,13653,238,6,0,9,3,33,3898,25995,1,3
2020-12-18,13653,238,6,0,9,3,33,3898,25995,1,3
2020-09-01,32346,361,10,1,243,3,45,3898,18629,3,4
2020-10-31,32346,361,10,1,243,3,45,3898,18629,2,3
2020-07-27,9206,1201,4,0,174,0,44,3898,19430,1,0
2020-06-23,9206,1201,4,0,174,0,44,3898,38281,1,0
2020-07-21,9206,1201,4,0,174,0,44,3898,4743,1,0
